SalesOrderDetailID,SalesOrderID,ProductID,UnitPrice,OrderQty
1,1,3,586.9442333,1
2,1,7,8.333156333,2
3,1,9,830.244786,1
4,1,18,2.261282833,2
5,1,23,8.701998167,3
6,2,11,153.140508,2
7,2,21,351.80903,2
8,3,2,302.8932833,1
9,3,3,586.9442333,1
10,3,7,8.333156333,3
11,3,9,830.244786,1
12,3,10,232.017485,1
13,3,18,2.261282833,2
14,3,23,8.701998167,1
15,4,9,830.244786,1
16,4,11,153.140508,1
17,4,15,79.22388267,2
18,4,16,189.997402,1
19,4,17,158.6824213,1
20,4,21,351.80903,1
21,4,24,62.66840533,2
22,5,11,153.140508,2
23,6,3,586.9442333,1
24,6,7,8.333156333,3
25,6,9,830.244786,1
26,7,3,586.9442333,1
27,7,7,8.333156333,3
28,7,9,830.244786,1
29,7,18,2.261282833,1
30,7,23,8.701998167,3
31,8,9,830.244786,1
32,8,11,153.140508,2
33,8,17,158.6824213,2
34,8,21,351.80903,2
35,9,3,586.9442333,1
36,9,9,830.244786,1
37,9,18,2.261282833,2
38,10,7,8.333156333,4
39,10,9,830.244786,1
40,10,11,153.140508,2
41,10,15,79.22388267,3
42,10,16,189.997402,3
43,10,17,158.6824213,1
44,10,18,2.261282833,2
45,10,21,351.80903,1
46,10,23,8.701998167,2
47,10,24,62.66840533,2
48,11,10,232.017485,2
49,12,9,830.244786,1
50,12,18,2.261282833,3
51,13,7,8.333156333,3
52,13,9,830.244786,1
53,13,11,153.140508,3
54,13,17,158.6824213,2
55,13,21,351.80903,1
56,13,23,8.701998167,2
57,14,9,830.244786,1
58,14,18,2.261282833,3
59,15,7,8.333156333,4
60,15,11,153.140508,2
61,15,15,79.22388267,2
62,15,16,189.997402,2
63,15,18,2.261282833,2
64,15,21,351.80903,1
65,15,23,8.701998167,2
66,15,24,62.66840533,3
67,16,21,351.80903,2
68,17,7,8.333156333,3
69,17,11,153.140508,2
70,17,18,2.261282833,4
71,17,21,351.80903,1
72,17,23,8.701998167,2
73,17,24,62.66840533,3
74,18,3,586.9442333,2
75,18,9,830.244786,1
76,18,18,2.261282833,2
77,19,7,8.333156333,1
78,19,9,830.244786,2
79,19,11,153.140508,2
80,19,15,79.22388267,3
81,19,16,189.997402,1
82,19,18,2.261282833,3
83,19,21,351.80903,2
84,19,23,8.701998167,3
85,20,7,8.333156333,3
86,20,11,153.140508,1
87,20,15,79.22388267,1
88,20,16,189.997402,2
89,20,17,158.6824213,2
90,20,18,2.261282833,3
91,20,21,351.80903,1
92,20,23,8.701998167,2
93,20,24,62.66840533,2
94,21,7,8.333156333,4
95,21,11,153.140508,1
96,21,16,189.997402,2
97,22,7,8.333156333,2
98,22,9,830.244786,1
99,22,11,153.140508,2
100,22,15,79.22388267,2
101,22,18,2.261282833,4
102,22,21,351.80903,2
103,22,23,8.701998167,2
104,22,24,62.66840533,2
105,23,7,8.333156333,3
106,23,9,830.244786,1
107,23,11,153.140508,1
108,23,15,79.22388267,1
109,23,16,189.997402,2
110,23,17,158.6824213,2
111,23,18,2.261282833,2
112,23,21,351.80903,1
113,23,23,8.701998167,3
114,23,24,62.66840533,2
115,24,7,8.333156333,2
116,24,11,153.140508,2
117,24,16,189.997402,3
118,24,21,351.80903,1
119,25,3,586.9442333,1
120,25,7,8.333156333,1
121,25,9,830.244786,1
122,25,18,2.261282833,3
123,25,23,8.701998167,3
124,26,11,153.140508,2
125,26,16,189.997402,1
126,26,21,351.80903,1
127,27,11,153.140508,2
128,27,15,79.22388267,1
129,27,21,351.80903,2
130,28,11,153.140508,2
131,28,16,189.997402,1
132,28,21,351.80903,1
133,29,11,153.140508,2
134,30,9,830.244786,1
135,30,11,153.140508,1
136,30,15,79.22388267,1
137,30,16,189.997402,2
138,30,21,351.80903,1
139,30,24,62.66840533,3
140,31,9,830.244786,1
141,31,11,153.140508,2
142,31,15,79.22388267,3
143,31,16,189.997402,2
144,31,17,158.6824213,2
145,31,21,351.80903,1
146,31,24,62.66840533,3
147,32,7,8.333156333,3
148,32,11,153.140508,2
149,32,16,189.997402,3
150,32,18,2.261282833,2
151,33,21,351.80903,1
152,34,7,8.333156333,2
153,34,9,830.244786,1
154,34,11,153.140508,2
155,34,15,79.22388267,3
156,34,16,189.997402,2
157,34,17,158.6824213,1
158,34,18,2.261282833,4
159,34,21,351.80903,2
160,34,23,8.701998167,2
161,34,24,62.66840533,1
162,35,3,586.9442333,1
163,35,7,8.333156333,1
164,35,9,830.244786,1
165,35,18,2.261282833,2
166,35,23,8.701998167,4
167,36,7,8.333156333,2
168,36,9,830.244786,1
169,36,18,2.261282833,2
170,36,23,8.701998167,3
171,37,2,302.8932833,1
172,37,3,586.9442333,1
173,37,9,830.244786,1
174,37,10,232.017485,2
175,37,18,2.261282833,2
176,38,11,153.140508,1
177,39,9,830.244786,1
178,40,9,830.244786,1
179,41,9,830.244786,1
180,42,11,153.140508,2
181,43,9,830.244786,1
182,44,9,830.244786,1
183,45,9,830.244786,1
184,46,3,586.9442333,1
185,47,9,830.244786,1
186,48,9,830.244786,2
187,49,9,830.244786,1
188,50,11,153.140508,2
189,51,9,830.244786,1
190,52,9,830.244786,1
191,53,9,830.244786,1
192,54,9,830.244786,1
193,55,9,830.244786,1
194,56,9,830.244786,2
195,57,9,830.244786,1
196,58,9,830.244786,2
197,59,11,153.140508,1
198,60,9,830.244786,1
199,61,9,830.244786,2
200,62,9,830.244786,1
201,63,9,830.244786,2
202,64,9,830.244786,1
203,65,11,153.140508,3
204,66,9,830.244786,1
205,67,9,830.244786,1
206,68,11,153.140508,1
207,69,9,830.244786,1
208,70,9,830.244786,1
209,71,9,830.244786,1
210,72,9,830.244786,2
211,73,9,830.244786,1
212,74,9,830.244786,1
213,75,9,830.244786,1
214,76,9,830.244786,1
215,77,9,830.244786,1
216,78,9,830.244786,1
217,79,9,830.244786,1
218,80,9,830.244786,1
219,81,9,830.244786,1
220,82,9,830.244786,1
221,83,9,830.244786,1
222,84,9,830.244786,1
223,85,9,830.244786,1
224,86,9,830.244786,1
225,87,9,830.244786,1
226,88,9,830.244786,1
227,89,9,830.244786,1
228,90,9,830.244786,2
229,91,9,830.244786,1
230,92,9,830.244786,1
231,93,9,830.244786,1
232,94,9,830.244786,1
233,95,9,830.244786,1
234,96,9,830.244786,1
235,97,9,830.244786,1
236,98,11,153.140508,3
237,99,9,830.244786,1
238,100,9,830.244786,1
239,101,9,830.244786,1
240,102,9,830.244786,1
241,103,9,830.244786,1
242,104,9,830.244786,1
243,105,9,830.244786,1
244,106,9,830.244786,1
245,107,9,830.244786,1
246,108,9,830.244786,1
247,109,9,830.244786,1
248,110,9,830.244786,1
249,111,9,830.244786,1
250,112,9,830.244786,1
251,113,11,153.140508,2
252,114,9,830.244786,1
253,115,9,830.244786,1
254,116,9,830.244786,1
255,117,9,830.244786,1
256,118,9,830.244786,1
257,119,9,830.244786,1
258,120,9,830.244786,1
259,121,11,153.140508,1
260,122,9,830.244786,1
261,123,9,830.244786,1
262,124,9,830.244786,1
263,125,9,830.244786,1
264,126,9,830.244786,2
265,127,9,830.244786,1
266,128,9,830.244786,1
267,129,9,830.244786,2
268,130,3,586.9442333,1
269,131,3,586.9442333,1
270,132,9,830.244786,1
271,133,9,830.244786,2
272,134,9,830.244786,2
273,135,9,830.244786,2
274,136,9,830.244786,1
275,137,9,830.244786,1
276,138,16,189.997402,2
277,139,9,830.244786,1
278,140,9,830.244786,1
279,141,9,830.244786,1
280,142,9,830.244786,1
281,143,9,830.244786,1
282,144,9,830.244786,1
283,145,9,830.244786,1
284,146,9,830.244786,1
285,147,11,153.140508,2
286,148,9,830.244786,1
287,149,9,830.244786,1
288,150,9,830.244786,1
289,151,9,830.244786,1
290,152,9,830.244786,1
291,153,9,830.244786,1
292,154,9,830.244786,1
293,155,9,830.244786,1
294,156,9,830.244786,1
295,157,9,830.244786,1
296,158,9,830.244786,1
297,159,9,830.244786,1
298,160,9,830.244786,1
299,161,9,830.244786,1
300,162,9,830.244786,1
301,163,9,830.244786,1
302,164,9,830.244786,1
303,165,16,189.997402,2
304,166,11,153.140508,3
305,167,9,830.244786,2
306,168,9,830.244786,1
307,169,11,153.140508,2
308,170,9,830.244786,1
309,171,9,830.244786,1
310,172,9,830.244786,1
311,173,9,830.244786,1
312,174,9,830.244786,1
313,175,9,830.244786,1
314,176,9,830.244786,1
315,177,9,830.244786,1
316,178,11,153.140508,2
317,179,9,830.244786,1
318,180,9,830.244786,1
319,181,9,830.244786,2
320,182,11,153.140508,3
321,183,9,830.244786,1
322,184,9,830.244786,1
323,185,2,302.8932833,2
324,185,3,586.9442333,1
325,185,9,830.244786,1
326,185,10,232.017485,1
327,185,18,2.261282833,3
328,186,3,586.9442333,1
329,186,9,830.244786,1
