Call ID,CallTimestamp,CustomerID,ProductID,WaitTime,CallAbandoned,CallDuration
1,7/13/2018 8:06,14686,16,3,0,937
2,7/13/2018 8:48,11136,2,191,0,565
3,7/13/2018 9:05,18213,21,15,0,1293
4,7/13/2018 9:54,18342,5,24,0,1080
5,7/13/2018 10:07,18245,1,0,0,850
6,7/13/2018 10:10,12112,5,18,1,147
7,7/13/2018 11:07,19069,17,27,0,915
8,7/13/2018 12:28,17197,22,0,0,979
9,7/13/2018 13:27,18795,25,10,0,1253
10,7/13/2018 13:30,12688,20,0,0,628
11,7/13/2018 14:28,12387,2,0,0,489
12,7/13/2018 14:36,16575,24,10,0,1354
13,7/13/2018 14:49,11235,25,12,0,1043
14,7/13/2018 15:06,13174,10,0,0,562
15,7/13/2018 16:56,13786,22,22,1,1178
16,7/13/2018 17:29,11192,9,0,0,277
17,7/13/2018 17:33,13307,15,15,0,663
18,7/13/2018 17:45,13463,24,0,0,637
19,7/13/2018 18:06,18567,25,0,0,839
20,7/13/2018 18:59,13860,8,22,0,347
21,7/13/2018 19:29,11316,21,9,0,401
22,7/14/2018 8:22,14231,8,0,0,676
23,7/14/2018 9:16,13911,12,0,0,1347
24,7/14/2018 10:05,13718,25,14,0,715
25,7/14/2018 10:13,11528,12,0,0,1341
26,7/14/2018 11:24,18812,19,0,0,1013
27,7/14/2018 11:31,18421,2,3,0,1158
28,7/14/2018 11:46,14064,17,5,0,1291
29,7/14/2018 12:38,14502,19,0,0,1367
30,7/14/2018 12:42,16461,2,197,0,985
31,7/14/2018 13:15,14990,18,0,0,318
32,7/14/2018 13:33,16068,25,0,1,225
33,7/14/2018 14:37,17151,25,223,0,171
34,7/14/2018 16:01,18564,17,0,1,301
35,7/14/2018 16:02,15623,3,8,0,376
36,7/14/2018 16:14,13447,24,89,0,623
37,7/14/2018 16:21,12160,21,18,1,1174
38,7/14/2018 16:54,14384,1,208,0,838
39,7/14/2018 17:49,12873,14,98,0,1218
40,7/14/2018 18:19,14909,21,27,0,868
41,7/14/2018 18:40,12686,12,0,0,1391
42,7/14/2018 18:42,17469,5,29,0,310
43,7/15/2018 8:10,18239,14,27,0,262
44,7/15/2018 8:39,11557,12,95,0,806
45,7/15/2018 8:55,15576,4,0,0,896
46,7/15/2018 9:01,18405,12,6,0,948
47,7/15/2018 9:55,15317,25,8,0,1494
48,7/15/2018 9:59,14440,12,14,0,216
49,7/15/2018 10:14,16505,5,0,0,1215
50,7/15/2018 10:27,12688,25,3,0,569
51,7/15/2018 10:57,14080,11,0,0,497
52,7/15/2018 11:36,17532,9,288,0,1123
53,7/15/2018 12:12,12111,19,228,0,285
54,7/15/2018 13:51,15945,3,0,0,1102
